Protein	X180330_02_sample_39_patient_54_Dengue_2	X180330_07_sample_13_patient_53_Dengue_1	X180330_08_sample_03_patient_44_Dengue_1	X180330_09_sample_43_patient_54_Dengue_1	X180330_10_sample_57_patient_57_Dengue_2	X180421_02_sample_94_patient_57_Dengue_1	X180421_03_sample_113_patient_44_Dengue_2	X180421_05_sample_02_patient_86_Dengue_1	X180421_06_sample_04_patient_88_Dengue_1	X180421_07_sample_05_patient_71_Dengue_1	X180421_10_sample_08_patient_99_Dengue_2	X180423_04_sample_116_patient_53_Dengue_2	X180424_02_sample_10_patient_58_Dengue_2	X180424_03_sample_11_patient_60_Dengue_1	X180424_04_sample_12_patient_84_Dengue_2	X180424_05_sample_14_patient_79_Dengue_2	X180426_04_sample_18_patient_94_Dengue_2	X180426_05_sample_19_patient_91_Dengue_1	X180508_03_sample_21_patient_88_Dengue_2	X180508_07_sample_25_patient_93_Dengue_1	X180508_08_sample_26_patient_85_Dengue_2	X180508_09_sample_27_patient_98_Dengue_2	X180515_03_sample_34_patient_97_Dengue_2	X180515_04_sample_35_patient_81_Dengue_2	X180515_05_sample_36_patient_79_Dengue_1	X180515_06_sample_37_patient_87_Dengue_1	X180515_08_sample_32_patient_82_Dengue_1	X180517_04_sample_44_patient_92_Dengue_1	X180517_09_sample_50_patient_93_Dengue_2	X180520_02_sample_54_patient_96_Dengue_1	X180520_03_sample_55_patient_84_Dengue_1	X180520_09_sample_62_patient_100_Dengue_1	X180704_02_sample_93_patient_56_Dengue_2	X180704_03_sample_96_patient_68_Dengue_2	X180704_04_sample_97_patient_82_Dengue_2	X180704_05_sample_98_patient_80_Dengue_1	X180704_06_sample_99_patient_83_Dengue_2	X180704_07_sample_100_patient_94_Dengue_1	X180704_09_sample_102_patient_87_Dengue_2	X180704_10_sample_104_patient_97_Dengue_1	X180710_03_sample_106_patient_101_Dengue_1	X180710_04_sample_107_patient_100_Dengue_2	X180710_05_sample_108_patient_95_Dengue_1	X180710_06_sample_109_patient_89_Dengue_2	X180710_07_sample_111_patient_69_Dengue_1	X180710_08_sample_112_patient_101_Dengue_2	X180710_09_sample_114_patient_60_Dengue_2	X180710_10_sample_115_patient_83_Dengue_1	X180712_05_sample_121_patient_91_Dengue_2	X180712_06_sample_122_patient_86_Dengue_2	X180712_08_sample_124_patient_68_Dengue_1	X180716_02_sample_84_patient_95_Dengue_2	X180716_07_sample_89_patient_90_Dengue_1	X180716_09_sample_91_patient_90_Dengue_2	X180716_10_sample_92_patient_78_Dengue_1	X180718_02_sample_40_patient_69_Dengue_2	X180718_06_sample_75_patient_92_Dengue_2	X180718_07_sample_76_patient_55_Dengue_1	X180718_08_sample_77_patient_71_Dengue_2	X180718_09_sample_78_patient_99_Dengue_1	X180718_11_sample_81_patient_89_Dengue_1	X180718_12_sample_82_patient_96_Dengue_2	X180718_13_sample_83_patient_58_Dengue_1	X180719_15_sample_65_patient_98_Dengue_1	X180723_03_sample_67_patient_56_Dengue_1	X180723_04_sample_68_patient_55_Dengue_2	X180724_03_sample_70_patient_85_Dengue_1	X180724_05_sample_72_patient_78_Dengue_2	X180330_03_sample_42_patient_26_Zika_2	X180330_04_sample_51_patient_52_Zika_1	X180330_05_sample_52_patient_27_Zika_2	X180330_06_sample_73_patient_31_Zika_2	X180403_02_sample_95_patient_31_Zika_1	X180403_03_sample_117_patient_26_Zika_1	X180403_05_sample_09_patient_52_Zika_2	X180421_04_sample_01_patient_51_Zika_2	X180421_08_sample_06_patient_18_Zika_1	X180421_09_sample_07_patient_30_Zika_1	X180423_02_sample_110_patient_70_Zika_2	X180423_03_sample_103_patient_27_Zika_1	X180423_05_sample_31_patient_70_Zika_1	X180424_06_sample_15_patient_28_Zika_2	X180426_02_sample_16_patient_29_Zika_1	X180426_03_sample_17_patient_28_Zika_1	X180508_02_sample_20_patient_64_Zika_2	X180508_04_sample_22_patient_59_Zika_2	X180508_05_sample_23_patient_75_Zika_2	X180508_06_sample_24_patient_67_Zika_2	X180508_10_sample_28_patient_29_Zika_2	X180511_02_sample_29_patient_76_Zika_1	X180511_03_sample_30_patient_50_Zika_1	X180515_02_sample_33_patient_76_Zika_2	X180515_07_sample_38_patient_75_Zika_1	X180517_03_sample_41_patient_74_Zika_2	X180517_06_sample_46_patient_62_Zika_2	X180517_07_sample_48_patient_73_Zika_1	X180517_10_sample_53_patient_59_Zika_1	X180520_04_sample_56_patient_62_Zika_1	X180520_05_sample_58_patient_61_Zika_2	X180520_06_sample_59_patient_72_Zika_2	X180520_07_sample_60_patient_64_Zika_1	X180520_08_sample_61_patient_50_Zika_2	X180520_10_sample_63_patient_33_Zika_1	X180704_08_sample_101_patient_74_Zika_1	X180710_02_sample_105_patient_25_Zika_1	X180712_02_sample_118_patient_65_Zika_2	X180712_03_sample_119_patient_25_Zika_2	X180712_04_sample_120_patient_66_Zika_1	X180712_07_sample_123_patient_63_Zika_2	X180716_03_sample_85_patient_73_Zika_2	X180716_04_sample_86_patient_67_Zika_1	X180716_05_sample_87_patient_66_Zika_2	X180716_06_sample_88_patient_32_Zika_1	X180716_08_sample_90_patient_61_Zika_1	X180718_03_sample_45_patient_32_Zika_2	X180718_04_sample_49_patient_72_Zika_1	X180718_05_sample_74_patient_30_Zika_2	X180718_10_sample_79_patient_51_Zika_1	X180719_14_sample_64_patient_18_Zika_2	X180723_02_sample_66_patient_63_Zika_1	X180724_02_sample_69_patient_65_Zika_1	X180724_04_sample_71_patient_33_Zika_2	nFragment	nPeptide
A0A024R0T9;K7ER74;P02655	14897.2	69236.4	13799.6	6175.66	27304.3	7494.11	17164.9	19833.5	29116.3	35379.4	12747.7	23738.6	28732.9	35479	5638.52	19229.4	17983	13586.9	27094.7	34272	4529.02	5170.54	32102.3	34912.2	77973.6	8240.39	24185.6	12039.2	33049.4	35012.3	6517.18	2818.38	15212.6	0	23796.4	6920.65	11370.2	6855.48	0	8040.67	42819.1	10446.4	5000.45	6013.45	39761.8	4000.71	24301.7	14614.8	0	0	0	12298.4	67621.6	7598.75	3368.32	18010.9	3382.61	15046.2	59528.6	34734.5	4614.82	20192.2	0	17619.6	35494.7	20368.1	31380.3	3079.83	1625.37	10761.1	7827.73	70023.4	30386.6	38811.8	15845.2	18298.6	109536	76294.7	21083.2	15783.8	15913.4	59454	35110	19421.3	44524.8	17970.1	14601.7	46594.7	38899.4	24792.1	17943.8	11584.9	18914.1	17958.9	58607	56399.7	1782.2	28043	18220.9	17421.7	24743.5	25879.3	53984.5	19864.3	52628.5	37044.9	3612.22	34990.1	30218	15532.5	10499	4394.84	0	20899.7	41070.8	25847.3	42552.6	18639.5	42128.3	13176.5	11635.2	6185.24	12	3
A0A075B6H9	24435.7	70955.1	33915.1	57484.4	18511.2	20349.9	24963.7	0	40407.4	29880.7	18215.3	47610.7	16090.4	21123.7	0	46273.3	0	0	20631.4	23293.3	9255.54	23865.2	60231.5	13136.6	20315.8	1763.82	10946.9	43910.4	11088.2	14394.1	7021.58	16861.9	33629.4	59319.3	33073.9	42479	21143	28480.9	15550.9	25669.9	39268.7	35814.1	36761.8	29068.7	70632.2	11604.4	22979.9	18794.2	2235.57	18733.6	43925	66746.8	13530.1	58829.8	0	59177.2	46883.8	15440.6	52697.9	34160.4	29299.6	20098	23323.6	32095.5	8673.51	20088.9	2732.53	716.52	83596.9	40759.8	2358.07	21687.9	38958.2	29559.8	23085.2	29277.8	66229.3	17909	9745.86	40187	39218	36865.4	0	0	50147.8	28652.3	25313.1	40864.1	26291.9	41354.1	32046.5	18433.5	34625.7	65326.3	32088.4	30117.8	36891.2	68516.6	98823.4	90092.3	30724.4	20349.7	29572.6	29917.7	58621.4	58210.6	38728.4	106325	25033.2	12022.9	32405.8	27728.5	13068	21025.7	57350.2	6036.46	13081	7118.08	82044.3	46293.4	42872.7	42455.9	3	1
A0A075B6I0	1159.71	161311	513603	500071	148339	211248	157718	268667	284780	474811	394652	221598	579399	165758	185446	492468	117950	275981	350141	297487	157446	90350.9	221835	495029	152174	173598	173308	302798	288801	32.039	163047	368686	417955	226986	336271	181292	280365	222710	286503	155684	316132	195859	390451	146741	269895	61991.5	478718	334237	178242	151021	141398	230717	106150	279262	72704.3	100755	331583	228683	305162	246662	187369	179545	863935	218347	99371.6	64422.8	435102	165207	292234	436503	99171	139498	72614.9	202044	255320	337512	345182	231586	289218	321292	138384	144322	52972.4	114773	388409	254459	21409.3	516141	139626	451629	469116	324771	336856	180201	39411.6	75086	470676	84559.8	163643	178058	469334	118176	140908	214287	57592.8	307780	55040.8	233998	334089	132444	372183	39261.8	97586.9	227780	0	286186	76828.5	42407.3	61543.7	83683.4	173824	236917	20	4
A0A075B6I1	6686.77	8335.28	1243.8	21713.5	4455.79	9285.21	0	0	7191.45	0	0	44174.7	4445.18	11840	0	11187	0	14652	1144.5	5604.15	0	0	5999.3	13987.4	6696.23	802.219	4447.98	23641.5	1365.89	7356.26	712.321	3282.28	7955.84	9356.1	5860.68	16443.7	0	7209.32	0	5489.96	19647.2	1428.05	10931.4	1541.27	30140.2	0	12766.7	1974.02	0	0	26933.5	0	6181.3	2449.18	0	13405	14448	10040.7	15095.6	2952.42	6597.28	16070.6	7044.24	5793.67	3377.82	1070.5	0	0	20381.4	1937.96	3128.1	12668.1	7228.9	7084.71	13643.2	4595.41	11145.8	2040.66	6237.44	7566.54	4945.42	0	0	0	13659.9	5696.13	8263.68	6022.93	0	13882.8	0	953.051	10551.2	12565.4	1684.59	7682.97	2810.82	22620.5	1541.75	8057.76	4442.36	8343.47	10966.9	6632.89	55412.6	8516.75	20408.2	9062.55	3673.25	3629.66	8699.19	11022.9	8314.94	5046.11	3705.69	2388.56	7033.19	4652.58	16767.1	15754.7	10228.3	6200.98	3	1
A0A075B6I4;A0A1W2PQ80	11430.8	660.485	12978.6	26327.2	4680.21	7149.19	1210.47	8859.11	8267.37	11757.3	4704.22	0	1193.24	6265.18	0	17630.9	0	0	6424.22	0	5140.43	2215.23	0	13397.6	5181.65	0	0	2793.25	0	5239.32	1692.56	5326.74	12689.5	11790.4	433.047	0	1284.17	3791.42	0	664.871	11071.4	0	10527.9	7178.24	21074.8	0	2544.14	3309.59	0	0	3360.85	13240.5	9789.8	0	0	13468.4	7594.72	6108.15	13352.2	0	10517.7	0	5664	16697.8	3607.27	15378.5	0	3861.07	9220.23	5433.09	9956.68	3591.24	0	8696.11	10444.3	9147.67	17192.8	12453.7	4076.22	17527.1	1525.13	11167.5	0	0	14297.9	9747	0	10349.4	15178.3	4548.48	5740.9	5503.39	12595.8	18159.5	0	18103.4	0	21956	135.217	1829.55	17199.2	11762.5	5271.34	0	19108.8	2495.81	22123.3	0	0	15563.7	7626.38	5722.09	0	1681.86	0	0	16292.2	3307.2	18405.6	4174.4	10104.5	4368.46	6	1
A0A075B6I9	6046.06	4752.27	4392.62	11935	0	0	7413.54	7727.56	5959.74	4588.9	7567.84	5368.67	5024.02	8305.1	0	16128.4	5586.79	5069.83	11055.8	5113.24	756.646	0	1870.28	0	977.144	0	3129.41	8696.04	0	0	0	0	0	8895.66	0	4556.84	5357.53	5590.56	0	0	8944.29	0	4932.95	7475.62	27991	0	0	5137.13	0	0	0	6585.7	3936.52	5805.6	0	7260.95	0	6322.85	6365.77	4317.98	7674	1071.29	6872.95	3748.52	2699.54	5172.27	1086.92	0	8135.4	9253.15	3140.31	0	0	3061.22	725.463	2289.62	7911.44	4142.86	3917.87	0	3917.05	3475.25	1561.25	0	6766.69	2664.24	4534.55	18958.3	0	5638.77	9593.08	0	0	0	0	2163.25	0	0	0	0	0	0	0	0	4205.59	0	2122.73	0	3770.66	7208.74	5391.59	0	0	4396.31	13539.1	0	649.456	4750.02	5781.81	8952.47	5174.05	6626.99	3	1
A0A075B6J9	18097.6	31014.1	11672.2	39256.6	21348	82633.4	13777.1	28106.8	25600.8	22200.6	52706.5	12509.1	26622.3	19824.9	0	33210	10590.2	19714.8	50375.2	20600.2	16604.3	8430.97	29187.3	30124.2	16454	12127	17574.5	21027.6	13415.4	17353.5	0	16244.6	16685.1	41987.6	5855.86	28890.2	47038.2	5330.63	23094.8	18692.9	35510.2	10881.5	12213.7	38945.6	82230.8	14541.3	8121.46	22083.9	17191.3	21674.7	0	31949.4	13356	35474.3	5534.7	6593.55	21011.1	24064.8	50129.9	14824.7	14928.3	29816.3	26307.7	31668.8	34501	19332.5	11117.1	5072.17	61622	10231.2	19685	27539.7	0	13838.1	28858.2	25988.9	55137.6	26444.9	17334.2	12374.6	29042.1	33734.3	26136.3	16116.6	28774.9	43280.4	1739.62	31871.7	26586.6	8804.47	52255	30169.6	59592.2	6553.04	27992.6	33558.1	26850.5	40545.4	40864.5	35316.2	40183.1	8210.02	25140.5	12735.1	15699.1	39180.8	16615.1	25959.8	9195.11	25508.2	23863.1	14035.8	16289.1	17384.8	39986.1	14643.6	31781.1	9154.67	0	27964.1	24425.8	5757.62	6	2
A0A075B6K4	138668	211244	34154.9	123789	99145	487487	71897.4	106831	103584	138820	166393	120355	202073	141265	46232.6	183239	165086	99658.7	107350	156447	318144	234094	251671	137523	132781	66863.4	120307	66817	208417	103909	180781	144600	61285.8	100927	116730	271437	124381	73947.2	263627	49825	114700	102679	107105	223299	437848	71470.9	117329	181277	46601.3	105174	317506	166399	121253	118870	44779.9	367010	115270	157527	72691.4	233509	48886.6	153542	30374.5	101967	129478	249061	53275.8	83311.3	81333.2	166356	125517	112158	138906	178321	84949	97068.6	237837	91928.8	98650	144819	47587.5	93045.1	81186.3	70793.5	151842	81692.4	57018.3	105158	106180	35905.7	129415	138033	59578.6	239330	44233.6	66843	219000	135535	183282	138158	120168	135502	78795.9	108975	76872.6	127204	99723.3	558672	141804	75882.8	180839	32755	67919.3	62975.1	25619.1	190219	48508.7	133992	122562	225876	68410.2	157821	22	6
A0A075B6K5	341725	501224	318721	437585	209223	1.23446e+06	392614	1.09145e+06	155903	147488	377526	733852	287807	275740	124421	440865	371305	397947	515480	305736	256310	224031	910537	240264	144629	150842	344386	375668	367545	178022	244896	337557	219438	734850	531015	273312	511320	341409	285723	344892	380741	478291	564437	381934	146871	81862.7	275602	152159	9265.06	173618	817565	588822	226714	731398	156253	415839	228907	505978	612288	676416	452487	324659	323501	404210	425134	528192	346549	5747.45	353559	376732	629652	342781	389042	518199	498925	307334	502018	277233	243732	566051	801622	470172	437229	314446	464087	267599	607922	520364	387149	290763	412722	618741	527516	369966	907174	352052	760593	458576	318948	472300	643542	548052	334175	80208.5	580133	494179	633036	811335	259860	94304.8	587009	225830	346257	480363	1.03528e+06	381271	237148	355013	273647	204460	309017	281882	13	3
A0A075B6P5;P01615	12726.5	9568.89	16881.7	12890.8	7759.18	67124.4	12333.2	14401.3	10068.9	18546.5	14113.1	26466.1	27838.2	26274.5	1826.25	17424.4	12570.6	11888.9	17076.9	17081.7	4622.71	0	28021.9	20470.7	8762.66	3498.62	10761.1	16937.7	3077.02	7534.68	13904.6	19866.6	0	37919.4	7852.78	41196.9	34742.7	9001.16	2959.45	7773.06	11650.8	10005	23113	10083.6	28947.8	4062.45	40911	23484.3	9732.08	9339.8	37631.9	12031.9	12408.8	13495.6	7398.25	14712.7	27306.2	4098.16	9801.8	20325.9	5791.73	4154.76	21202.8	36285.8	5092.19	50642.4	4066.46	0	38126.3	16601.3	22498.1	12536.7	4263.5	15753	15402.9	19972.6	14995.4	10289.3	11205.6	22219	17298.4	14739.8	19631.6	9545.47	7514.46	12187.4	21885.2	31432.1	4814.73	6329.68	14214.5	22945.1	15828.4	14453.7	33865.9	31913	18359.5	30364.8	12410.3	14891.9	12451.9	17651.3	8427.71	2286.22	18596	4744.42	20663.2	28704.1	8763.01	58226.2	5636.09	24055.9	15341.1	12747	23046.9	10036.5	16657.5	19970.5	4807.14	7279.67	14751.6	7216.62	3	1
