Protein	pval_unambiguous	coef_unambiguous
A0A024R0T9;K7ER74;P02655	0.90482	0.03
A0A075B6H9	0.1396	-0.37
A0A075B6I0	0.86945	0.05
A0A075B6I1	0.74225	-0.08
A0A075B6I4;A0A1W2PQ80	0.91693	-0.02
A0A075B6I9	0.69468	-0.08
A0A075B6J9	0.9636	0.01
A0A075B6K4	0.46727	0.15
A0A075B6K5	0.12825	-0.35
A0A075B6P5;P01615	0.11673	0.32
A0A075B6Q5	0.47914	0.14
A0A075B6R2	0.56198	-0.09
A0A075B6S2;A2NJV5	0.53039	0.16
A0A075B6S5	0.00694	-0.49
A0A075B6S9	0.69423	-0.09
A0A075B7B8	0.77672	-0.05
A0A075B7D0	0.5478	-0.19
A0A075B7D8	0.50058	-0.21
A0A087WSX0	0.11459	-0.34
A0A087WSY5;Q96IY4	0.82229	0.03
A0A087WSY6	0.45065	-0.13
A0A087X0M8;O00533;O00533-2	0.20426	-0.08
A0A087X0Q4	0.79868	-0.04
A0A087X1J7;P22352	0.89386	-0.02
A0A096LPE2	0.61522	0.11
A0A0A0MRJ7;P12259	0.94558	-0.01
A0A0A0MS09;P01880;P01880-2	0.81727	0.08
A0A0A0MS14	0.55027	0.09
A0A0A0MS15	0.48027	-0.17
A0A0A0MT36	0.20285	-0.35
A0A0A0MT69	0.92586	-0.02
A0A0B4J1U3	0.18419	0.33
A0A0B4J1U7	0.87878	-0.05
A0A0B4J1V0	0.48244	0.18
A0A0B4J1V2	0.56228	0.12
A0A0B4J1V6	0.95864	0.01
A0A0B4J1X5	0.59334	0.13
A0A0B4J1X8	0.61253	-0.09
A0A0B4J1Y8	0.65838	-0.11
A0A0B4J1Y9	0.6938	-0.1
A0A0B4J231;B9A064	0.21603	-0.24
A0A0B4J2B5	0.41638	0.12
A0A0B4J2D9;P0DP09	0.72563	-0.14
A0A0B4J2H0	0.52451	0.25
A0A0C4DFP6;Q9NQ79;Q9NQ79-2	0.7096	0.06
A0A0C4DH24	0.74418	-0.08
A0A0C4DH25	0.32833	-0.16
A0A0C4DH29	0.33304	0.22
A0A0C4DH31	0.32995	-0.21
A0A0C4DH33	0.93144	0.02
A0A0C4DH34	0.14527	-0.28
A0A0C4DH35	0.20459	-0.15
A0A0C4DH36	0.03308	-0.35
A0A0C4DH38	0.52259	0.15
A0A0C4DH39	0.43623	-0.14
A0A0C4DH55;A0A0C4DH90	0.4162	-0.16
A0A0C4DH67	0.79243	-0.06
A0A0C4DH68	0.82199	-0.05
A0A0C4DH72	0.79467	-0.07
A0A0C4DH73;P01611	0.76992	0.06
A0A0G2JMB2	0.02255	-0.55
A0A0G2JMI3	0.69928	0.09
A0A0G2JRQ6	0.02651	-0.42
A0A0G2JS06	0.02171	-0.51
A0A0J9YVT0;P0DP02	0.5248	-0.08
A0A0J9YX35	0.52731	0.12
A0A0J9YXX1	0.21739	-0.64
A0A0J9YY99	0.93445	-0.01
A0A0U1RR20;Q92954;Q92954-3;Q92954-6	0.44616	0.11
A0A140TA49	0.44631	-0.26
A0A182DWH7;P49908	0.73422	-0.05
A0A1W2PP64	0.05124	0.41
A0A1W2PQB1;H0Y755;M9MML0;P08637	0.52488	-0.1
A0A286YEY5;P01877	0.08278	-0.63
A0M8Q6	0.88673	0.03
A6XND0;A6XND1;P17936;P17936-2	0.73327	0.06
B0YIW2;P02656	0.26774	0.27
B4DPQ0	0.47261	-0.09
B4E1Z4	0.32183	-0.13
C9JB55	0.95502	-0.01
C9JEE0	0.22423	0.18
C9JF17;P05090	0.28073	-0.14
D6R934;P02746	0.2126	-0.2
D6RF35	0.24675	-0.37
E7END6;P04070;P04070-2	0.65099	0.07
E7ER44;P02788	0.28729	-0.3
E7ETH0;G3XAM2;P05156	0.92333	-0.01
E9PFZ2	0.29459	0.51
E9PHK0;P05452	0.25658	0.18
F5H8B0;P08709;P08709-2	0.5171	0.06
F8WF14;P06276	0.15056	0.18
G3V0E5;P02786	0.05413	-0.23
G3V2W1;Q9UK55	0.16111	-0.24
G3XAK1;P26927	0.10712	-0.23
G3XAP6;P49747	0.8468	-0.02
H0Y2P0;H0Y5E4;H0YCV9;H0YDW7;H0YDX6;P16070;P16070-10;P16070-11;P16070-12;P16070-13;P16070-14;P16070-15;P16070-16;P16070-17;P16070-18;P16070-3;P16070-4;P16070-5;P16070-6;P16070-7;P16070-8;P16070-9	0.31695	0.08
H0Y512;Q9HDC9	0.28974	0.12
H0YAC1;P03952	0.31786	0.09
I3L145;P04278	0.4609	-0.2
J3KPA1;P54108;P54108-2;P54108-3	0.73355	0.02
K7ERG9;P00746	0.50841	-0.14
O00187	0.97617	0
O00391	0.32138	-0.16
O14791;O14791-2	0.84529	0.03
O15439;O15439-2;O15439-3;O15439-4	0.50394	-0.1
O43866	0.03139	-0.33
O75636	0.79328	-0.07
O75882-2	0.6039	-0.07
O95445	0.74828	-0.04
P00450	0.28184	-0.11
P00734	0.70853	0.03
P00738	0.98304	-0.01
P00739	0.82461	0.05
P00740	0.94843	-0.01
P00742	0.96688	0
P00747	0.7052	-0.03
P00748	0.58713	0.09
P00915	0.67328	-0.09
P00918	0.30588	0.23
P01008	0.25503	0.1
P01009	0.82752	-0.08
P01011	0.14496	-0.25
P01019	0.80793	-0.04
P01023	0.29618	0.18
P01024	0.91733	0.01
P01031	0.61512	-0.07
P01034	0.28007	-0.19
P01042	0.79228	-0.02
P01042-2	0.45772	0.13
P01344;P01344-3	0.87045	0.02
P01591	0.5132	-0.1
P01593;P01594	0.55173	-0.1
P01597;P04432	0.86182	-0.04
P01599	0.6895	-0.1
P01601	0.9612	-0.01
P01602	0.36242	0.22
P01619	0.35299	-0.14
P01624	0.88224	0.03
P01699	0.5362	-0.13
P01700	0.70403	0.06
P01701	0.21156	-0.22
P01703	0.84836	-0.05
P01704	0.9871	0.01
P01705	0.31017	0.26
P01706	0.44844	-0.15
P01709	0.17802	-0.25
P01714	0.3657	-0.26
P01717	0.54003	0.14
P01718	0.10591	-0.64
P01721	0.95798	0.01
P01742	0.81967	-0.07
P01743	0.5085	-0.15
P01762	0.2786	0.21
P01766	0.70903	-0.04
P01780	0.92163	0.03
P01782	0.85308	-0.04
P01817	0.55129	0.12
P01833	0.06357	-0.26
P01834	0.0844	-0.25
P01857	0.29664	-0.12
P01859	0.41378	-0.19
P01860	0.21914	-0.25
P01861	0.76782	-0.1
P01871	0.0293	-0.43
P01876	0.03517	-0.51
P02042	0.73162	0.12
P02647	0.80054	0.09
P02649	0.85907	-0.03
P02652;V9GYM3	0.90389	0.03
P02671	0.31298	-0.34
P02675	0.8112	-0.15
P02679;P02679-2	0.8	-0.18
P02741	0.00195	-1.51
P02743	0.6319	0.06
P02745	0.76856	-0.04
P02747	0.44454	-0.12
P02748	0.59051	-0.09
P02749	0.94713	0.01
P02750	0.17733	-0.32
P02751-14;P02751-8	0.5234	-0.12
P02751;P02751-15;P02751-3;P02751-7	0.30753	-0.19
P02753;Q5VY30	0.54586	0.11
P02760	0.49016	-0.09
P02763	0.17622	-0.22
P02765	0.70237	0.04
P02766	0.77124	0.05
P02768	0.71483	0.03
P02774;P02774-3	0.01256	-0.18
P02775	0.35818	0.29
