Protein	pval_Zika	coef_Zika
A0A024R0T9;K7ER74;P02655	0.12917	0.35
A0A075B6H9	0.3974	0.2
A0A075B6I0	0.4811	-0.21
A0A075B6I1	0.49276	-0.15
A0A075B6I4;A0A1W2PQ80	0.62156	0.11
A0A075B6I9	0.0641	-0.36
A0A075B6J9	0.70608	0.06
A0A075B6K4	0.24559	-0.21
A0A075B6K5	0.06375	0.39
A0A075B6P5;P01615	0.83585	0.04
A0A075B6Q5	0.43186	0.14
A0A075B6R2	0.69841	-0.05
A0A075B6S2;A2NJV5	0.69923	0.09
A0A075B6S5	0.87707	0.03
A0A075B6S9	0.45633	0.15
A0A075B7B8	0.44438	0.13
A0A075B7D0	0.01845	0.67
A0A075B7D8	0.36037	-0.26
A0A087WSX0	0.74749	0.06
A0A087WSY5;Q96IY4	0.05696	0.23
A0A087WSY6	0.39752	0.13
A0A087X0M8;O00533;O00533-2	0.37834	-0.05
A0A087X0Q4	0.06581	0.25
A0A087X1J7;P22352	0.36749	0.14
A0A096LPE2	0.13378	0.31
A0A0A0MRJ7;P12259	0.17584	0.18
A0A0A0MS09;P01880;P01880-2	0.76517	-0.09
A0A0A0MS14	0.36818	-0.13
A0A0A0MS15	0.30322	0.23
A0A0A0MT36	0.83354	0.05
A0A0A0MT69	0.12604	0.31
A0A0B4J1U3	0.13583	0.35
A0A0B4J1U7	0.45837	0.23
A0A0B4J1V0	0.42133	0.19
A0A0B4J1V2	0.7	0.07
A0A0B4J1V6	0.03113	0.33
A0A0B4J1X5	0.03536	0.48
A0A0B4J1X8	0.86856	0.03
A0A0B4J1Y8	0.7852	0.06
A0A0B4J1Y9	0.01718	0.53
A0A0B4J231;B9A064	0.62197	0.09
A0A0B4J2B5	0.18343	-0.18
A0A0B4J2D9;P0DP09	0.76701	-0.11
A0A0B4J2H0	0.94521	0.02
A0A0C4DFP6;Q9NQ79;Q9NQ79-2	0.6058	-0.08
A0A0C4DH24	0.907	0.03
A0A0C4DH25	0.54793	0.09
A0A0C4DH29	0.64782	0.1
A0A0C4DH31	0.05527	-0.38
A0A0C4DH33	0.76637	-0.07
A0A0C4DH34	0.08746	0.3
A0A0C4DH35	0.9688	0
A0A0C4DH36	0.08306	0.26
A0A0C4DH38	0.79979	-0.05
A0A0C4DH39	0.19045	-0.21
A0A0C4DH55;A0A0C4DH90	0.46067	0.13
A0A0C4DH67	0.37349	0.19
A0A0C4DH68	0.31594	0.22
A0A0C4DH72	0.41946	0.19
A0A0C4DH73;P01611	0.75801	0.06
A0A0G2JMB2	0.08952	0.38
A0A0G2JMI3	0.03467	-0.45
A0A0G2JRQ6	0.44714	0.13
A0A0G2JS06	0.59408	-0.11
A0A0J9YVT0;P0DP02	0.44288	0.09
A0A0J9YX35	0.05436	0.33
A0A0J9YXX1	0.30616	0.49
A0A0J9YY99	0.12003	0.24
A0A0U1RR20;Q92954;Q92954-3;Q92954-6	0.41215	0.11
A0A140TA49	0.05181	0.62
A0A182DWH7;P49908	0.01239	0.32
A0A1W2PP64	0.99076	0
A0A1W2PQB1;H0Y755;M9MML0;P08637	0.04935	-0.29
A0A286YEY5;P01877	0.02891	0.71
A0M8Q6	0.89802	0.03
A6XND0;A6XND1;P17936;P17936-2	0.07427	0.28
B0YIW2;P02656	0.02736	0.49
B4DPQ0	0.45647	0.08
B4E1Z4	0.80593	-0.03
C9JB55	0.00899	0.27
C9JEE0	0.95399	0.01
C9JF17;P05090	0.95542	-0.01
D6R934;P02746	0.74616	0.05
D6RF35	0.81823	-0.07
E7END6;P04070;P04070-2	0.29176	0.15
E7ER44;P02788	0.19264	0.34
E7ETH0;G3XAM2;P05156	0.50051	0.05
E9PFZ2	0.48723	0.31
E9PHK0;P05452	0.39742	0.13
F5H8B0;P08709;P08709-2	0.46289	-0.07
F8WF14;P06276	0.76569	-0.04
G3V0E5;P02786	0.79313	-0.03
G3V2W1;Q9UK55	0.34079	-0.15
G3XAK1;P26927	0.5809	-0.07
G3XAP6;P49747	0.14914	0.14
H0Y2P0;H0Y5E4;H0YCV9;H0YDW7;H0YDX6;P16070;P16070-10;P16070-11;P16070-12;P16070-13;P16070-14;P16070-15;P16070-16;P16070-17;P16070-18;P16070-3;P16070-4;P16070-5;P16070-6;P16070-7;P16070-8;P16070-9	0.20275	-0.1
H0Y512;Q9HDC9	0.17269	0.14
H0YAC1;P03952	0.80634	0.02
I3L145;P04278	0.00169	-0.76
J3KPA1;P54108;P54108-2;P54108-3	0.24831	-0.07
K7ERG9;P00746	0.08366	0.33
O00187	0.61835	0.05
O00391	0.75372	-0.05
O14791;O14791-2	0.61567	0.08
O15439;O15439-2;O15439-3;O15439-4	0.74355	-0.04
O43866	0.23298	0.17
O75636	0.00855	0.66
