Protein	pval_unambiguous	pval_IgM	pval_GenderMale	pval_RaceIndo	pval_Days_since_onset_corrected	pval_Age	coef_unambiguous	coef_IgM	coef_GenderMale	coef_RaceIndo	coef_Days_since_onset_corrected	coef_Age
A0A024R0T9;K7ER74;P02655	0.06395	0.3483	0.0026	0.82771	0.82399	0.0107	0.59	-0.32	-0.95	-0.07	-0.01	0.07
A0A075B6H9	0.66275	0.96542	0.17301	0.64532	0.90848	0.53738	0.15	0.02	-0.46	0.17	0.01	-0.02
A0A075B6I0	0.64137	0.67856	0.31062	0.71049	0.78438	0.7379	0.26	0.24	0.54	0.22	0.02	0.02
A0A075B6I1	0.88036	0.2779	0.42961	0.35817	0.65383	0.39327	0.06	0.52	-0.32	-0.44	0.03	-0.03
A0A075B6I4;A0A1W2PQ80	0.89792	0.46125	0.22551	0.88186	0.2267	0.73258	-0.05	-0.31	-0.46	-0.06	0.07	-0.01
A0A075B6I9	0.78987	0.40997	0.63809	0.10287	0.96358	0.11727	-0.08	-0.26	0.16	0.62	0	-0.04
A0A075B6J9	0.215	0.12488	0.06198	0.94103	0.05257	0.2125	0.26	-0.34	-0.38	-0.02	0.06	-0.02
A0A075B6K4	0.14801	0.03617	0.19569	0.43465	0.07982	0.6236	0.34	0.52	0.29	-0.19	0.06	-0.01
A0A075B6K5	0.1341	0.39397	0.17776	0.37414	0.2956	0.43852	-0.33	-0.2	-0.29	-0.21	0.04	-0.02
A0A075B6P5;P01615	0.18435	0.60339	0.90962	0.64845	0.61127	0.3173	0.35	0.14	-0.03	-0.13	-0.02	-0.02
A0A075B6Q5	0.77342	0.51593	0.19475	0.06296	0.50798	0.71922	0.07	-0.18	0.33	0.52	-0.02	0.01
A0A075B6R2	0.66371	0.73069	0.59035	0.18305	0.14451	0.07759	-0.08	-0.07	0.09	-0.26	0.04	-0.03
A0A075B6S2;A2NJV5	0.31278	0.30511	0.36491	0.07908	0.31227	0.78888	-0.39	-0.45	0.31	0.76	-0.05	-0.01
A0A075B6S5	0.02444	0.08174	0.78028	0.23063	0.94212	0.51617	-0.59	-0.51	-0.07	0.34	0	0.02
A0A075B6S9	0.93311	0.51086	0.51033	0.69291	0.65401	0.22668	-0.02	-0.21	-0.19	0.13	-0.02	0.03
A0A075B7B8	0.81876	0.42662	0.07775	0.78921	0.22833	0.39439	0.04	-0.15	-0.31	0.05	0.03	-0.01
A0A075B7D0	0.68526	0.72002	0.81911	0.15697	0.99477	0.33297	0.19	0.19	0.11	-0.78	0	0.04
