Protein	pval_Zika	pval_IgM	pval_GenderMale	pval_RaceIndo	pval_Days_since_onset_corrected	pval_Age	coef_Zika	coef_IgM	coef_GenderMale	coef_RaceIndo	coef_Days_since_onset_corrected	coef_Age
P02671	0.00016	0.00668	0.44542	0.20254	0.80274	0.51847	-2.61	-1.64	0.32	0.62	-0.02	-0.02
P02679;P02679-2	0.00016	0.00092	0.46601	0.39775	0.69781	0.33817	-6.06	-4.33	0.67	-0.99	-0.06	-0.08
P02775	0.00016	0.00021	0.1772	0.35429	0.91266	0.37429	1.68	1.52	0.37	-0.29	0	0.02
P36955	0.00017	3.00E-04	0.61414	0.87652	0.83682	0.12105	0.78	0.69	-0.06	-0.02	0	0.02
P02675	2.00E-04	9.00E-04	0.69196	0.87408	0.97214	0.54983	-5.14	-3.82	0.3	-0.15	0	-0.04
P10720	0.00021	0.01002	0.12488	0.47647	0.12113	0.1066	2.06	1.34	-0.5	0.25	0.08	0.05
P00740	0.00043	6.00E-04	0.03088	0.84588	0.76109	0.11706	1.08	0.96	0.41	-0.04	-0.01	0.03
Q14624	0.00047	5.00E-05	0.79193	0.45653	0.70339	0.09755	0.56	0.62	0.03	0.09	-0.01	0.01
P07357	0.00059	1.00E-05	0.77632	0.37216	0.90516	0.12173	0.78	0.95	-0.04	0.15	0	0.02
P02790	0.00082	0.00233	0.4202	0.65852	0.79803	0.58641	1.19	0.98	-0.18	0.11	0.01	0.01
P01024	0.00163	1.00E-04	0.68379	0.8696	0.5913	0.16344	0.96	1.12	0.08	-0.04	-0.02	0.02
P01031	0.00229	0.00132	0.1084	0.97826	0.88009	0.29342	0.91	0.88	-0.3	0.01	0	0.02
A0A0A0MS14	0.00431	0.14833	0.90417	0.01731	0.24821	0.70584	-0.89	-0.4	0.02	-0.56	-0.04	0.01
P02760	0.0045	0.01538	0.24154	0.29808	0.41921	0.06111	0.76	0.58	-0.2	0.2	0.02	0.03
A0A0C4DH68	0.00476	0.06123	0.70887	0.45921	0.17157	0.34726	1.25	0.76	-0.1	0.23	0.06	0.02
P0C0L5	0.00545	0.00364	0.26592	0.65295	0.84228	0.74161	0.9	0.87	-0.23	0.11	-0.01	0.01
P00738	0.00562	0.00091	0.19659	0.98957	0.19715	0.06189	1.37	1.54	0.41	0	-0.06	-0.05
E7ER44;P02788	0.00565	0.00726	0.27598	0.93169	0.70055	0.15236	1.63	1.55	-0.39	-0.03	0.02	0.05
P05109	0.00589	0.04715	0.91996	0.83981	0.21078	0.75993	1.67	1.16	-0.04	-0.09	0.08	0.01
P01721	0.00742	0.03012	0.47796	0.13207	0.05108	0.74768	-1.25	-0.99	-0.2	-0.46	0.08	-0.01
P02766	0.00749	0.2542	0.82425	0.69418	0.80085	0.37418	0.82	0.31	-0.04	-0.09	0.01	0.02
P06396	0.00788	0.70237	0.62835	0.94722	0.50036	0.75295	0.47	-0.06	-0.05	0.01	0.01	0
Q9UEU0;Q9UEU0-2	0.00805	0.01037	0.81021	0.08002	0.22041	0.90885	-1.14	-1.05	-0.06	0.56	-0.05	0
P35858;P35858-2	0.00885	0.0153	0.26218	0.63674	0.84572	0.17897	1.79	1.51	-0.49	0.24	-0.01	0.05
A0A0G2JMI3	0.00886	0.08273	0.75277	0.80669	0.62713	0.91948	-1.05	-0.56	0.08	-0.08	0.02	0
P80108	0.00955	0.12603	0.86001	0.45895	0.63233	0.24886	0.91	0.48	-0.04	-0.19	0.02	0.02
P02647	0.01024	0.04355	0.18836	0.50263	0.62615	0.26828	2.17	1.54	-0.71	0.42	-0.04	0.05
P59665;P59666	0.01055	0.00695	0.27617	0.4104	0.44024	0.96025	1.79	1.7	0.47	0.41	0.05	0
Q14520;Q14520-2	0.01106	0.01877	0.0064	0.66891	0.9006	0.13595	0.47	0.39	-0.33	0.06	0	0.02
P02743	0.0111	0.02164	0.91945	0.953	0.62082	0.47949	0.59	0.49	-0.01	0.01	0.01	0.01
O75636	0.01146	0.0244	0.02855	0.70565	0.99192	0.50937	0.92	0.75	-0.52	0.1	0	0.01
P10909;P10909-2;P10909-4;P10909-5	0.01273	0.11771	0.31441	0.40966	0.63316	0.28635	1.1	0.62	-0.28	0.27	-0.02	0.03
I3L145;P04278	0.01274	0.312	0.85736	0.78698	0.4936	0.33098	-1.18	-0.43	0.05	0.09	-0.03	0.03
P01011	0.01403	0.00057	0.79594	0.61359	0.97878	0.62298	0.91	1.22	-0.06	0.14	0	0.01
P05546	0.01502	0.03517	0.72039	0.41843	0.90145	0.42455	0.77	0.61	-0.07	0.19	0	0.01
P01009	0.01514	0.00501	0.36324	0.85312	0.82159	0.63817	2.02	2.17	-0.48	0.11	0.02	0.02
P00742	0.01525	0.0072	0.0681	0.40746	0.84606	0.00313	0.37	0.38	-0.18	0.09	0	0.03
P01859	0.01726	0.22993	0.46511	0.45782	0.03139	0.97662	0.59	0.27	-0.12	0.14	0.06	0
P13671	0.01889	0.19763	0.37029	0.52482	0.27207	0.77375	-0.27	-0.13	0.07	-0.05	-0.01	0
P02748	0.01954	0.00047	0.89286	0.82049	0.47114	0.92938	0.85	1.22	0.03	0.06	0.03	0
P07996	0.0197	0.0369	0.20877	0.44249	0.5751	0.08103	1.21	1.01	-0.41	-0.28	-0.03	0.05
A0A087WSY5;Q96IY4	0.01974	0.07093	0.60908	0.9302	0.15216	0.05946	0.67	0.47	-0.09	-0.02	0.04	0.03
P00918	0.02031	0.56916	0.39603	0.86704	0.6804	0.75878	1.12	0.23	0.23	-0.05	0.02	-0.01
B4DPQ0	0.02103	0.00487	0.70319	0.838	0.59403	0.40123	0.59	0.67	-0.06	0.04	0.01	0.01
A0A0J9YX35	0.02131	0.1397	0.20575	0.4716	0.51293	0.79347	0.93	0.54	-0.33	0.22	0.03	0.01
Q15485	0.02364	0.38207	0.3918	0.60788	0.67412	0.60287	-0.69	-0.25	0.18	0.12	-0.01	-0.01
A0A087X1J7;P22352	0.0248	0.07561	0.08379	0.21066	0.61662	0.29114	0.81	0.58	-0.41	0.34	0.02	0.02
A0A140TA49	0.02708	0.14245	0.15509	0.4794	0.76962	0.31034	1.59	0.96	-0.65	0.37	-0.02	0.04
P08603	0.02743	0.00543	0.24337	0.54427	0.49213	0.06887	0.35	0.41	-0.12	-0.07	-0.01	0.02
A0A0B4J1Y9	0.02894	0.26051	0.27307	0.15087	0.77837	0.57132	1.23	0.57	-0.4	0.61	0.02	0.02
P04217	0.02896	0.00807	0.33737	0.96782	0.29444	0.25161	0.63	0.71	-0.18	-0.01	-0.03	0.02
P18428	0.03126	0.00026	0.73138	0.63135	0.44312	0.3098	1.32	2.17	-0.13	-0.22	-0.05	0.04
A0A0C4DH36	0.03135	0.21661	0.11777	0.46535	0.90394	0.68771	0.61	0.32	-0.29	0.16	0	0.01
P04114	0.0329	0.47101	0.08774	0.32412	0.71352	0.10289	0.92	0.28	-0.48	0.32	0.02	0.04
A0A087X0Q4	0.03319	0.07396	0.74336	0.33559	0.9218	0.67115	0.6	0.46	0.06	0.21	0	-0.01
P61626	0.03508	0.01095	0.86535	0.45398	0.72777	0.63835	1.07	1.2	-0.06	0.29	0.02	0.01
P02765	0.03522	0.01884	0.71141	0.09012	0.88865	0.57345	-0.39	-0.4	-0.04	-0.24	0	-0.01
A0A0A0MT36	0.03527	0.04172	0.30376	0.29292	0.1793	0.92947	1.2	1.06	-0.38	0.45	0.08	0
A0A1W2PP64	0.03539	0.0226	0.36154	0.33658	0.43202	0.44025	-1.03	-1.04	-0.29	-0.37	-0.04	0.02
P01019	0.03606	0.02402	0.10872	0.25227	0.47855	0.12533	0.69	0.69	-0.35	0.29	-0.02	0.03
Q9BXR6	0.03709	0.00354	0.33426	0.72783	0.35478	0.53504	0.65	0.87	0.2	-0.08	0.03	0.01
A0A0G2JMB2	0.03825	0.01954	0.44502	0.98755	0.20156	0.62135	0.74	0.77	0.17	0	0.05	0.01
P19827	0.03903	0.03222	0.8947	0.85738	0.45869	0.8287	0.44	0.42	0.02	-0.03	0.02	0
P19652	0.03978	0.00334	0.45734	0.97067	0.92228	0.99618	0.71	0.95	-0.16	-0.01	0	0
P29622	0.04022	0.60646	0.05935	0.92668	0.46626	0.16358	0.75	-0.17	-0.46	0.03	0.03	0.03
P06727	0.0415	0.86619	0.41352	0.05834	0.79282	0.03346	1.01	0.07	-0.26	0.72	-0.01	0.06
P02745	0.0453	0.03438	0.90124	0.16242	0.93165	0.92051	0.46	0.45	-0.02	0.25	0	0
A0A0B4J1U7	0.04533	0.3014	0.35431	0.12616	0.27689	0.34557	1.31	0.61	-0.39	0.76	0.07	-0.04
P06331	0.04818	0.01458	0.84042	0.87878	0.77903	0.92706	0.92	1.05	-0.06	-0.05	0.01	0
P25311	0.04943	0.11462	0.96842	0.80514	0.98374	0.08056	0.52	0.38	0.01	0.05	0	0.03
O15439;O15439-2;O15439-3;O15439-4	0.04995	0.32243	0.90273	0.07683	0.60636	0.74008	0.6	0.29	-0.02	0.37	0.01	-0.01
A0A0C4DH34	0.05021	0.12227	0.71869	0.41903	0.61051	0.94154	0.61	0.44	-0.07	0.19	0.02	0
P60709;P63261	0.05035	0.63002	0.62378	0.60776	0.42043	0.6986	0.94	0.21	0.15	0.19	0.04	-0.01
P15814	0.05037	0.1184	0.33276	0.9023	0.7533	0.33376	1.26	0.91	-0.4	-0.06	0.02	0.04
A0A182DWH7;P49908	0.05191	0.50368	0.52491	0.78839	0.94649	0.35429	0.43	0.13	-0.09	0.04	0	0.01
P00747	0.05333	0.08398	0.3272	0.60356	0.90656	0.20857	0.31	0.25	-0.1	0.06	0	0.01
A0A0C4DH35	0.05758	0.03984	0.97542	0.8171	0.03366	0.8624	0.35	0.34	0	0.03	0.04	0
P01871	0.06027	0.22296	0.21044	0.87519	0.76996	0.12407	0.7	0.41	-0.3	0.04	-0.01	-0.03
P08697	0.06215	0.03154	0.86188	0.9879	0.83737	0.73372	0.51	0.54	-0.03	0	0.01	0.01
P68871	0.06269	0.879	0.18237	0.50149	0.19354	0.85888	1.6	0.12	-0.75	0.44	0.12	-0.01
K7ERG9;P00746	0.06545	0.11471	0.28062	0.63955	0.65349	0.02664	0.8	0.64	-0.32	0.15	-0.02	0.06
P07360	0.06569	0.05631	0.31567	0.07495	0.85958	0.35175	0.33	0.31	-0.12	0.24	0	0.01
Q92905	0.06641	0.09031	0.47495	0.92902	0.66431	0.81561	-0.42	-0.37	-0.1	-0.02	-0.01	0
P01766	0.06702	0.18005	0.84701	0.15584	0.31127	0.64927	0.4	0.26	-0.03	0.23	0.02	0.01
P23142	0.06732	0.22201	0.65175	0.81623	0.32139	0.43946	-0.47	-0.29	-0.08	-0.05	-0.03	0.01
C9JB55	0.06888	0.28711	0.41804	0.86368	0.52588	0.99981	0.42	0.22	-0.13	0.03	0.01	0
A0A0C4DH67	0.071	0.30558	0.16694	0.10992	0.30629	0.52791	0.87	0.43	-0.4	0.57	0.05	0.02
